SampleID,label,Actinomyces,Alloscardovia,Bifidobacterium,Scardovia,Corynebacterium,Lawsonella,Rothia,Atopobium,Bacteroides,F0058,Porphyromonas,Alloprevotella,Prevotella,Prevotella_7,Rikenellaceae RC9 gut group,Tannerella,Capnocytophaga,Bergeyella,Campylobacter,Bacillus,Solobacterium,Abiotrophia,Dolosigranulum,Granulicatella,Enterococcus,Lacticaseibacillus,Lactobacillus,Limosilactobacillus,Lactococcus,Streptococcus,Mycoplasma,Gemella,Staphylococcus,Butyrivibrio,Catonella,Howardella,Johnsonella,Lachnoanaerobaculum,Oribacterium,Shuttleworthia,Stomatobaculum,Peptococcus,[Eubacterium] brachy group,[Eubacterium] nodatum group,Mogibacterium,Anaerococcus,Finegoldia,Parvimonas,Peptoniphilus,[Eubacterium] yurii group,Filifactor,Peptostreptococcus,Centipeda,Selenomonas,Anaeroglobus,Dialister,Megasphaera,Veillonella,Fusobacterium,Leptotrichia,Streptobacillus,Candidatus Saccharimonas,TM7x,Rhizobium,Bordetella,Burkholderia,Lautropia,Eikenella,Kingella,Neisseria,Cardiobacterium,Escherichia-Shigella,Klebsiella,Actinobacillus,Aggregatibacter,Haemophilus,Halomonas,Acinetobacter,Moraxella,Pseudomonas,Rhodanobacter,Stenotrophomonas,Treponema,Fretibacterium
SRX11038580,Advanced,0.00278065183652354,0,0.000840662183135023,0,0,0,0.133277289187791,0.000840662183135023,0,0,0.0466890843248836,0.0126099327470253,0.0771469218830833,0.0402871184687015,0,0.00245732022762545,0.0671236420072426,0.00536730470770823,0.0188825659596482,0,0.00504397309881014,0,0,0.0184945680289705,0,0,0.000711329539575789,0,0,0.279940506983963,0,0.0149379203310916,0.0416451112260735,0,0,0,0,0,0.0140325918261769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129332643559234,0.0197878944645629,0.00368598034143818,0,0.0293585100879462,0.065377651319193,0.000323331608898086,0,0,0,0,0,0,0,0,0,0.0289705121572685,0,0,0,0,0.0636963269529229,0.00368598034143818,0,0,0,0.000581996896016555,0,0,0,0
SRX11038581,Advanced,0,0,0,0,0,0,0.00408103774959918,0,0,0,0,0,0.00291502696399942,0.0204051887479959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029879026380994,0,0,0.00174901617839965,0,0,0,0,0.000728756740999854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583005392799883,0,0,0,0,0,0,0.263518437545547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661711120827868,0,0,0,0
SRX11038584,Advanced,0.00643224699828473,0,0,0,0,0,0.0266580903373356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357347055460263,0,0,0,0,0.0962692967409948,0,0,0.000214408233276158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101486563750715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857918810748999,0,0,0,0
SRX11038593,Advanced,0.00121475054229935,0,0,0.0048590021691974,0.00182212581344902,0,0.0174403470715835,0,0,0,0,0,0,0.02941431670282,0,0,0.00190889370932755,0,0,0,0,0,0,0.00112798264642082,0,0,0,0,0,0.0721041214750542,0.00182212581344902,0.00711496746203905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139696312364425,0,0.00321041214750542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843644251626898,0,0,0,0
SRX11038606,Advanced,0.00277725178312188,0,0,0,0.000315596793536578,0,0.0160323171116581,0.000757432304487786,0,0,0.0472763996717793,0.0370510635611942,0.0431105219970965,0.1829199015338,0,0.000820551663195102,0.0056807422836584,0.00953102316480465,0.0111090071324875,0,0,0.00321908729407309,0.00157798396768289,0.00978350059963391,0,0,0,0,0,0.0860316859180711,0,0.0105409329041217,0.152938206147826,0,0,0,0,0.000883671021902417,0.0104778135454144,0,0.00183046140251215,0,0,0,0.000378716152243893,0,0,0,0,0,0,0.00056807422836584,0,0.000631193587073155,0,0,0,0.0975825285615098,0.067411475099413,0.0402701508552673,0,0.000189358076121947,0.000631193587073155,0,0,0,0.00801615855582907,0.00246165498958531,0,0.00100990973931705,0,0,0,0,0,0.110648235813924,0,0,0,0.0349050053651455,0,0,0,0
SRX11038621,Advanced,0.00885458054262686,0,0,0,0,0,0.0256555795209445,0.00136224316040413,0,0,0,0.00874106027925985,0.0132818708139403,0.125666931547281,0,0,0,0,0,0,0,0,0,0.00476785106141446,0,0,0,0,0,0.0426836190259961,0,0.000908162106936088,0.00272448632080826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437053013962992,0,0,0,0,0,0,0.0474514700874106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673969803609944,0,0,0,0
SRX11038624,Advanced,0.0145904608573154,0,0,0,0,0,0.00835178104246327,0.00181122962366673,0,0,0,0,0.0258603340712417,0.105956932984504,0,0,0,0,0,0,0,0,0,0.00664117528677802,0,0,0,0,0,0.0390420607768163,0,0,0.0358220970014087,0,0,0,0,0.000804990943851882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00734554236264842,0.0107667538740189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743006641175287,0,0,0,0
SRX11038625,Advanced,0,0,0,0,0,0,0.00189017111022682,0,0,0,0,0,0.000298448070035814,0,0,0,0.000298448070035814,0,0.00049741345005969,0,0,0.00258654994031039,0,0,0,0,0,0,0,0.00915240748109829,0,0.00119379228014326,0.0267608436132113,0,0,0,0,0,0.000795861520095503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179068842021488,0.00586947871070434,0,0,0,0,0,0,0,0.00129327497015519,0.705133306804616,0,0,0,0,0,0,0,0.00308396339037008,0,0,0,0.238758456028651,0,0,0,0
SRX11038627,Advanced,0,0,0,0,0,0,0.0760140893080332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102261106692421,0.185206226565163,0,0.017725258493353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00545392569026247,0,0,0,0,0,0,0.714577888876264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX7883893,Advanced,0.00573318632855568,0,0,0,0,0,0.00485115766262404,0,0,0,0,0,0.00705622932745314,0.056890848952591,0,0,0,0,0,0,0,0,0,0.00264608599779493,0,0,0,0,0,0.0659316427783903,0,0,0.787651598676957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02954796030871,0,0,0,0,0,0,0,0.00110253583241455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385887541345094,0,0,0,0
SRX7883894,Advanced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208981769675411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979101823032459,0,0,0,0
SRX7883895,Advanced,0.00102389078498294,0,0,0,0,0,0.0112627986348123,0,0,0,0,0,0.110750853242321,0,0,0,0,0,0,0,0,0.00511945392491468,0,0,0,0,0,0,0,0.206825938566553,0,0.0037542662116041,0.234982935153584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160238907849829,0,0,0,0,0,0,0,0.00102389078498294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253242320819113,0,0.0117747440273038,0,0
SRX7883898,Advanced,0.00864425093751986,0,0.00190682005974703,0.000381364011949406,0,0,0.0044492468060764,0.00591114218521579,0,0,0,0.00406788279412699,0.0198309286213691,0.061844530604462,0,0,0.0144282717854192,0.000317803343291171,0.00572046017924109,0,0,0,0,0.0156994851585839,0,0,0.0265047988304837,0.0134113010868874,0,0.139070743024217,0,0.00228818407169643,0.24801372910443,0,0,0,0,0.000190682005974703,0,0,0.00120765270450645,0,0,0,0,0.000572046017924109,0,0.00088984936121528,0,0,0,0.000381364011949406,0.00336871543888642,0.00311447276425348,0.000635606686582343,0.000317803343291171,0.00362295811351935,0.289455285069599,0.0087078116061781,0.00858069026886163,0,0,0,0,0,0.000190682005974703,0,0,0.00292379075827878,0.00540265683594991,0.000381364011949406,0,0,0.00127121337316469,0.00750015890167165,0.00718235555838047,0,0,0,0,0,0,0.000953410029873514,0.000508485349265874
SRX10871473,Advanced,0.0233712132814654,0,0,0.000183784114926333,0,0,0.00900542163139033,9.18920574631666E-05,0,0,0.0114865071828958,0,0.0373081753300456,0.012129751585138,0,0,0.0177657977762122,0.00159279566269489,0.00177657977762122,0,0.0002756761723895,0.000551352344779,0,0.0238000428829601,0,0,0,0,0,0.229883297087022,0,0.0185009342359175,0.321162740833767,0,0,0,0,0.00134775017612644,0.00395135847091616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456397218733727,0.0445676478696358,0.0251784237449076,0,0,0,0,0,0,0,0,0,0.00551352344779,0,0,0,0,0,0,0,0,0,0.164793089717279,0,0,0,0
SRX10871474,Advanced,0.111870399470681,0,0,0.00666818294599289,0,0,0.0318728806550327,0.0138946323711852,0,0,0,0.00191257960466463,0.0142461334877181,0.117814903647341,0,0,0.00811554048465801,7.23678769332561E-05,0.00389752708626251,0,0,0,0,0.0266830700521049,0,4.13530725332892E-05,0.000858076255065751,0.000186088826399801,0,0.430268381440741,0,0.0127367463402531,0,0,0,0,0,0.000351501116532958,0.000165412290133157,0,0.0044041022247953,0,0,0,0.000527251674799438,0,0,0.000206765362666446,0,0,0,0.000155074021999835,0.00013439748573319,0.0025949053014639,0,0.000496236870399471,0.00657513853279299,0.180164998759408,0.00713340501199239,0.00242949301133074,0,0,0,0,0,0,0.000992473740798941,0.00312215697626334,0.000630634356132661,0.000465222065999504,0.000279133239599702,0,2.06765362666446E-05,0,0,0.000506575138532793,0,8.27061450665785E-05,0,0.00102348854519891,0,0.00420767513026218,0,0
SRX10871476,Advanced,0.107808361165496,0,0.00718645629390764,0.00819993089945871,0,0,0.0525509616491996,0.00878728550040309,9.21340550500979E-05,0,0,0,0.000426120004606703,0.192030404238167,0,0,5.75837844063112E-05,0,0.000380052977081654,0,0.000218818380743982,0,0,6.91005412875734E-05,0,0,0.0057929287112749,0.0146032477254405,0,0.315225152597029,0,0,0.000149717839456409,0,0,0,0,0.00648393412415064,0.00337440976620984,0,0.0148220661061845,0,5.75837844063112E-05,0,0,4.60670275250489E-05,0,0,0,0,0,0,0,0.000679488655994472,0,0.000610388114706899,0.00108257514683865,0.25091558217206,0.000195784866981458,0.000161234596337671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX10871482,Advanced,0.0068102494253852,0,0,0,0,0,0.0114922959053375,0.00017025623563463,0,0.00034051247126926,0.00272409977015408,0.00570358389376011,0.0107261428449817,0.0985783604324508,0,0,0.0149825487358475,0.00068102494253852,0,0,0.00476717459776964,0.00885332425300077,0,0,0,0,0,0,0,0.242955648250617,0,0.000425640589086575,0,0,0,0,0,0.00068102494253852,0.00178769047416362,0,0.000936409295990466,0,0,0,0,0,0,0,0,0,0,0,0,0.00034051247126926,0,0,0,0.0285179194688005,0.00255384353451945,0.00144717800289436,0,0,0,0,0.00127692176725973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551630203456202,0,0,0.00034051247126926,0
SRX10871484,Advanced,0,0,0,0,0,0,0,0,0,0,0,0,0.135773317591499,0.239669421487603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218417945690673,0,0.0543093270365998,0.179456906729634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236127508854782,0,0.00472255017709563,0.133412042502952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106257378984652,0,0,0,0,0,0,0,0
SRX10871486,Advanced,0.00608519269776876,0,0,0.00540906017579446,0,0,0.00202839756592292,0.00811359026369168,0,0,0.00135226504394861,0,0.0290736984448952,0.0114942528735632,0,0,0,0,0,0,0,0,0,0.0121703853955375,0,0,0.00135226504394861,0,0,0.306964164976335,0,0.04394861392833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101419878296146,0,0,0,0,0,0,0,0,0,0.0196078431372549,0.00473292765382015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537525354969574,0,0
SRX10871489,Advanced,0.0344168260038241,0,0.00860420650095602,0,0,0,0.0258126195028681,0.00764818355640535,0,0,0.0372848948374761,0,0.0181644359464627,0.0707456978967495,0,0,0.00573613766730402,0,0,0,0,0,0,0,0,0,0,0,0,0.445506692160612,0,0.0621414913957935,0,0,0,0,0,0,0.00669216061185468,0,0,0,0,0,0,0,0,0.00478011472275335,0,0,0,0,0,0,0,0,0,0.0659655831739962,0.0181644359464627,0,0,0,0,0,0,0.188336520076482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX10871495,Advanced,0.0225563909774436,0,0,0,0,0,0.00668337510442774,0,0,0,0,0,0,0.0133667502088555,0,0,0,0,0,0,0,0,0,0.0133667502088555,0,0,0,0,0,0.211361737677527,0,0.0208855472013367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342522974101921,0,0.0025062656641604,0,0,0,0,0,0,0,0,0,0.00835421888053467,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0
SRX10871499,Advanced,0.000796812749003984,0,0,0.00258964143426295,0,0,0.00318725099601594,0.00258964143426295,0,0,0,0,0,0.0175298804780877,0,0,0,0,0,0,0,0,0,0.0111553784860558,0,0,0,0,0,0.166533864541833,0,0.0545816733067729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047808764940239,0,0,0,0,0,0,0,0.736254980079681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRX10871500,Advanced,0.0258317834263278,0,0,0,0,0,0.00247985120892746,0.0157057243232073,0,0,0.0192188468691878,0.00309981401115933,0.183715643728043,0.0741888820004133,0,0,0.00537301095267617,0,0.00103327133705311,0,0.0107460219053523,0,0,0.00495970241785493,0,0,0.00785286216160364,0,0,0.260177722669973,0,0.022938623682579,0.0746021905352345,0,0.00764620789419302,0.00123992560446373,0,0.000413308534821244,0.00475304815044431,0.00309981401115933,0.00247985120892746,0,0,0.000413308534821244,0.00123992560446373,0,0,0,0,0,0,0.0477371357718537,0,0,0,0.00433973961562306,0,0.0349245711923951,0.0818350898946063,0.000413308534821244,0,0,0,0,0,0,0,0.000619962802231866,0,0,0,0,0,0,0,0.0171523041950816,0,0,0,0.0566232692705104,0,0,0.00743955362678239,0.00247985120892746
SRX10871506,Advanced,0.000864553314121037,0,0,0,0,0,0,0,0,0,0,0,0.62507204610951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783861671469741,0,0.00172910662824207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120749279538905,0,0,0,0,0,0,0,0,0,0.0273775216138329,0,0,0,0,0,0,0,0.000576368876080692,0,0,0,0.144380403458213,0,0,0,0
SRX10871512,Advanced,0.0694755450795522,0,0.00164997053624042,0.00329994107248085,0,0,0.0294048320565704,0.00194460813199764,0,0,0,0.00878020035356511,0.028285209192693,0.110371243370654,0,0,0.00424278137890395,0.000589275191514437,0.000353565114908662,0,0.00129640542133176,0,0,0.0111962286387743,0,0,0,0.000412492634060106,0,0.304124926340601,0,0.0208014142604596,0,0,0,0,0,0.0032410135533294,0.00542133176193282,0,0.00271066588096641,0,0,0,0.000176782557454331,0,0,0.00371243370654095,0,0,0,0.00159104301708898,0,0.00123747790218032,0,0.000589275191514437,0.0194460813199764,0.127460223924573,0.0103123158515027,0,0,0,0,0,0,0,0,0,0,0.00430170889805539,0,0,0,0,0,0,0,0,0,0.223453152622275,0,0,0,0
SRX7287476,Advanced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227000598682898,0,0,0,0,0,0,0.936190381161445,0,0,0,0,0,0,0,0,0,0,0.0113250848134105,0,0,0,0.0297844741568549,0,0,0,0
SRX7287479,Advanced,0.0656411616496486,0,0,0.00304999336957963,0,0,0.00556955310966715,0.00132608407373027,0.00053043362949211,0,0,0.00053043362949211,0.0372629624718207,0.116562790080891,0,0,0.00198912611059541,0,0.000928258851611192,0,0.000397825222119082,0,0,0.0140564911815409,0,0,0,0,0,0.198647394244795,0,0.00371303540644477,0,0,0,0,0,0.00450868585068293,0.00490651107280202,0,0.00119347566635725,0,0,0,0.00159130088847633,0,0,0,0,0,0,0,0.00159130088847633,0,0,0,0.0258586394377404,0.116032356451399,0.00159130088847633,0.0114043230340804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378729611457366,0,0,0,0
SRX7287480,Advanced,0.0315726401179941,0,0.0207872418879056,0,0,0,0.00539269911504425,0,0,0,0,0.00230457227138643,0.0571073008849558,0.290468289085546,0,0.000460914454277286,0.0105549410029499,0.000829646017699115,0,0,0.0100018436578171,0.00115228613569322,0,0.000691371681415929,0,0,0,0,0,0.202018805309734,0,0.00530051622418879,0,0,0,0,0,0.0105088495575221,0,0,0.000829646017699115,0,0,0,0,0,0,0.00133665191740413,0,0,0,0.000138274336283186,0,0.000645280235988201,0,0,0.0313882743362832,0.214647861356932,0.00248893805309734,0.00327249262536873,0,0,0,0,0,0,0,0,0,0.000184365781710914,0,0,0,0,0,0.0790929203539823,0,0,0,0.0146570796460177,0,0,0,0
SRX7287485,Advanced,0,0,0,0.00418235048097031,0,0,0.0108741112505228,0,0,0,0,0,0.00752823086574655,0.00878293601003764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803011292346299,0,0,0.695106649937265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00752823086574655,0,0,0,0,0,0,0,0,0,0,0,0.0167294019238812,0,0,0,0,0,0.00627352572145546,0,0,0,0.162693433709745,0,0,0,0
SRX7287487,Advanced,0.0221414980107248,0,0,0,0,0,0.00129735339906591,0.00069192181283515,0,0,0,0.00164331430548348,0.00198927521190106,0.0187683791731534,0,0,0.00536239404947241,0.000778412039439543,0.000259470679813181,0,0,0.0380556997059332,0,0.0230928905033731,0,0,0,0,0,0.134751773049645,0,0.019546791212593,0,0,0,0,0,0.00069192181283515,0.00198927521190106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000518941359626362,0,0.0230064002767687,0.00129735339906591,0.0218820273309116,0,0,0,0,0.61555094274347,0,0.00709219858156028,0,0,0.0486939975782737,0,0,0,0,0,0.00985988583290088,0,0,0,0.000864902266043937,0,0,0,0
SRX7287489,Advanced,0,0,0,0,0,0,0.0244063324538259,0,0,0,0,0,0,0.0217678100263852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195910290237467,0,0.00758575197889182,0.620052770448549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593667546174142,0,0,0,0,0,0,0,0,0,0,0,0.00461741424802111,0,0,0,0,0,0.00494722955145119,0,0,0,0.114775725593668,0,0,0,0
SRX7287490,Advanced,0.0130657956136258,0,0,0,0,0,0.055996266915539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466635557629491,0,0,0,0,0,0.136257582827811,0,0,0.765748950069995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839944003733084,0,0,0,0,0,0,0,0,0,0,0,0.00326644890340644,0,0,0,0,0,0,0,0,0,0.000933271115258983,0,0.0116658889407373,0,0
SRX7287491,Advanced,0,0,0.00628306878306878,0,0,0,0.00496031746031746,0,0,0,0,0,0,0.0300925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324074074074074,0,0,0.753637566137566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00760582010582011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264550264550265,0,0,0,0,0,0.162367724867725,0,0,0,0
SRX7287492,Advanced,0,0,0.0232454179704962,0.0102816271792579,0,0,0.0147518998658918,0,0,0,0,0,0.0147518998658918,0.0163164953062137,0,0,0,0,0,0,0,0.00558784085829236,0,0,0,0.00335270451497541,0,0,0,0.181940098345999,0,0,0.130308448815378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156459544032186,0,0,0,0,0,0,0,0,0,0,0.0388913723737148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400089405453733,0,0,0,0.516987036209209,0,0.000670540902995083,0,0
SRX7287509,Advanced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892908138981437,0,0.00650483896557195,0,0,0.0990004759638267,0,0,0,0,0,0,0,0,0,0.00158654608916389,0,0,0,0
SRX7287528,Advanced,0.0192755772082186,0,0,0,0,0,0,0.00169455623808515,0,0,0.00275365388688837,0,0,0.0086846007201864,0,0,0,0,0,0,0,0,0,0.0347384028807456,0,0,0,0,0,0.123914424909977,0.00317729294640966,0.0216055920355857,0,0,0,0,0,0.00105909764880322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694768057614912,0.00275365388688837,0,0.00487184918449481,0,0,0,0.00508366871425545,0,0.0131328108451599,0,0,0.061851302690108,0,0,0,0,0.0148273670832451,0.338487608557509,0,0,0,0.00783732260114383,0,0.264774412200805,0,0
SRX7287529,Advanced,0.00484740373056191,0,0,0,0,0,0,0,0,0,0.0173730949703339,0.00112459766549036,0.024818707100477,0.0171404195912669,0.0262147593748788,0.000426571528289448,0.0441695427928801,0.00461472835149494,0.0102764959087913,0,0.000232675379066972,0.00426571528289448,0,0.0116725481831931,0,0,0,0,0,0.0760460697250553,0.000465350758133943,0.0281537208671036,0,0,0,0,0,0.00263698762942568,0.00628223523480824,0,0.00678636522278668,0,0.00127971458486834,0,0,0,0,0.00624345600496374,0,0.000193896149222476,0.00314111761740412,0,0,0.00065924690735642,0,0,0,0.173459495094427,0.0229960832977857,0.0214449141040059,0,0,0,0,0,0,0.00438205297242797,0.00120215612517935,0,0.0365688137433591,0,0,0,0.00135727304455733,0.00934579439252336,0.0323418776903091,0,0,0,0,0,0.384069492379881,0.0082599759568775,0
SRX7287532,Advanced,0.0268784361637141,0,0,0.000458155161881491,0,0,0,0,0,0,0,0.0175626145387905,0.0668906536346976,0.040470372632865,0,0,0.00397067806963958,0,0.00320708613317043,0,0,0,0,0.0273365913255956,0,0,0,0,0.000916310323762981,0.194410507025046,0.000458155161881491,0.0192425167990226,0.394624312767257,0,0,0,0,0,0.0151191203420892,0,0,0,0,0,0,0,0,0.0096212583995113,0,0,0,0,0,0.00366524129505192,0,0.00244349419670128,0.00412339645693341,0.057574832009774,0.0325290164935858,0.0258094074526573,0,0,0,0,0,0,0.0140500916310324,0.00106902871105681,0.00427611484422724,0.00641417226634087,0,0,0,0,0,0.0137446548564447,0,0,0,0,0,0.0108430054978619,0.00229077580940745,0
SRX7287534,Advanced,0.029500756429652,0,0,0,0,0,0.0037821482602118,0.000504286434694907,0,0,0,0.00126071608673727,0.0129853756933938,0.117750882501261,0,0,0.00832072617246596,0,0.0056732223903177,0,0,0,0,0.0253403933434191,0,0,0,0,0,0.209026727181039,0,0.0215582450832073,0.332576903681291,0,0,0,0,0.00315179021684317,0.013363590519415,0,0.00239536056480081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453857791225416,0.11434694906707,0,0.0180282400403429,0,0,0,0,0,0,0,0,0.00138678769541099,0.0129853756933938,0,0,0,0,0,0.044755421079173,0,0,0,0,0,0.0167675239536056,0,0
